index,name,ELO,fGoals,aGoals,num_matches,fGoals_p_match,aGoals_p_match,team_code
Chameria,Chameria,1043.9196789021562,10,5,5,2.0,1.0,58
Saint Helena,Saint Helena,959.2309724084173,5,25,4,1.25,6.25,231
Yoruba Nation,Yoruba Nation,984.7216117471977,2,3,2,1.0,1.5,310
Biafra,Biafra,1016.9429263707124,3,2,3,1.0,0.6666666666666666,33
Mapuche,Mapuche,1000.6471999915343,4,3,2,2.0,1.5,167
Aymara,Aymara,970.67252485988,2,5,2,1.0,2.5,19
Brunei Darussalam,Brunei Darussalam,990.0449556565694,2,4,2,1.0,2.0,42
Asturias,Asturias,1013.3178709372953,4,2,1,4.0,2.0,16
Crimea,Crimea,1029.6657088659913,8,12,5,1.6,2.4,68
Two Sicilies,Two Sicilies,976.3503149604668,3,9,4,0.75,2.25,286
Surrey,Surrey,1011.5920239572635,4,2,1,4.0,2.0,263
Maule Sur,Maule Sur,1028.6802751485857,3,1,2,1.5,0.5,170
